Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of Ownership,Industry,Sector,Revenue,Competitors
Administrative Assistant,$85k-$233k,Provide administrative support to ensure efficient office operations.,3.5,Tech Innovate,"San Francisco, CA","Austin, TX",501-1000 employees,1938,Non-profit Organization,Finance,Business Services,More than $50 million,None
Human Resources Coordinator,$122k-$171k,"Manage recruitment, training, and employee relations.",2.0,Market Movers,"Washington, DC","Los Angeles, CA",501-1000 employees,1986,Public,Networking & Security,Retail,More than $50 million,None
Security Analyst,$138k-$190k,Protect systems against cyber threats and ensure data security.,4.9,Supply Chain Co.,"Seattle, WA","San Francisco, CA",201-500 employees,1902,Non-profit Organization,Customer Service,Government,$10 to $25 million,None
Digital Media Manager,$115k-$231k,Manage online content and social media presence.,4.0,People Partners,"Washington, DC","New York, NY",51-200 employees,1902,Non-profit Organization,Cybersecurity,Business Services,$5 to $10 million,None
Graphic Designer,$144k-$204k,Design visual content for digital and print media.,4.0,Plan Pros,"San Francisco, CA","New York, NY",51-200 employees,1947,Subsidiary or Business Segment,Research & Development,"Arts, Entertainment & Recreation",$1 to $5 million,None
Digital Media Manager,$76k-$232k,Manage online content and social media presence.,1.2,Support Central,"Washington, DC","Seattle, WA",201-500 employees,1917,Government,Networking & Security,Technology,$25 to $50 million,None
Security Analyst,$103k-$232k,Protect systems against cyber threats and ensure data security.,4.3,Secure Systems,"New York, NY","Austin, TX",201-500 employees,1943,Public,Graphic Design,Non-Profit,Less than $1 million,None
Customer Support Representative,$135k-$181k,Handle customer inquiries and resolve issues promptly.,4.2,Web Wonders,"Austin, TX","Washington, DC",501-1000 employees,1966,Government,Consumer Products,Media,More than $50 million,None
Software Developer,$58k-$212k,Develop and maintain software applications based on client requirements.,1.3,Design Dreams,"New York, NY","Chicago, IL",51-200 employees,1916,Private,Consumer Products,Government,$25 to $50 million,None
Administrative Assistant,$76k-$180k,Provide administrative support to ensure efficient office operations.,3.0,Media Magic,"Seattle, WA","Boston, MA",51-200 employees,1992,Public,Graphic Design,Real Estate,$1 to $5 million,None
Project Manager,$81k-$188k,Oversee project lifecycle from initiation to closure.,2.1,Finance First,"Austin, TX","Boston, MA",501-1000 employees,1910,Government,Digital Media,Real Estate,$1 to $5 million,None
Financial Analyst,$106k-$204k,Conduct financial analysis and report on budgeting.,3.0,Web Wonders,"Denver, CO","Chicago, IL",501-1000 employees,1902,Subsidiary or Business Segment,Digital Media,Business Services,$5 to $10 million,None
Project Manager,$118k-$169k,Oversee project lifecycle from initiation to closure.,3.2,Global Sales Group,"Boston, MA","Denver, CO",501-1000 employees,1939,Subsidiary or Business Segment,Research & Development,Real Estate,$25 to $50 million,None
Project Manager,$111k-$159k,Oversee project lifecycle from initiation to closure.,2.3,Web Wonders,"Seattle, WA","Austin, TX",51-200 employees,2017,Public,IT Services,Technology,$25 to $50 million,None
Web Developer,$142k-$197k,Build and maintain websites to enhance user experience.,3.0,Support Central,"Denver, CO","Denver, CO",201-500 employees,1949,Subsidiary or Business Segment,Research & Development,Government,Less than $1 million,None
Digital Media Manager,$54k-$165k,Manage online content and social media presence.,2.5,Plan Pros,"Chicago, IL","Austin, TX",501-1000 employees,1932,Government,Human Resources,Media,More than $50 million,None
Web Developer,$97k-$239k,Build and maintain websites to enhance user experience.,1.2,Media Magic,"Denver, CO","Austin, TX",51-200 employees,1961,Private,Customer Service,Insurance,More than $50 million,None
Web Developer,$136k-$153k,Build and maintain websites to enhance user experience.,3.8,Supply Chain Co.,"Chicago, IL","Boston, MA",1001-5000 employees,1958,Public,Research & Development,"Arts, Entertainment & Recreation",$25 to $50 million,None
Project Manager,$134k-$170k,Oversee project lifecycle from initiation to closure.,1.0,Secure Systems,"San Francisco, CA","Denver, CO",501-1000 employees,1990,Non-profit Organization,Customer Service,Business Services,$25 to $50 million,None
Customer Support Representative,$74k-$204k,Handle customer inquiries and resolve issues promptly.,1.7,Media Magic,"Boston, MA","Boston, MA",1001-5000 employees,1968,Subsidiary or Business Segment,Management Consulting,Biotech & Pharmaceuticals,More than $50 million,None
Digital Media Manager,$146k-$243k,Manage online content and social media presence.,4.5,Market Movers,"Washington, DC","Los Angeles, CA",51-200 employees,1934,Public,Customer Service,Real Estate,More than $50 million,None
Data Scientist,$50k-$171k,Analyze large datasets to uncover actionable insights.,4.3,Tech Innovate,"San Francisco, CA","San Francisco, CA",501-1000 employees,1967,Subsidiary or Business Segment,Logistics,Biotech & Pharmaceuticals,More than $50 million,None
Digital Media Manager,$71k-$172k,Manage online content and social media presence.,2.5,Web Wonders,"Chicago, IL","Austin, TX",501-1000 employees,1923,Non-profit Organization,Marketing,Media,$25 to $50 million,None
Administrative Assistant,$77k-$173k,Provide administrative support to ensure efficient office operations.,1.8,Web Wonders,"Chicago, IL","Austin, TX",201-500 employees,2015,Subsidiary or Business Segment,Finance,Government,Less than $1 million,None
Administrative Assistant,$131k-$171k,Provide administrative support to ensure efficient office operations.,1.3,Market Movers,"Denver, CO","San Francisco, CA",201-500 employees,1908,Government,IT Services,Government,$1 to $5 million,None
Financial Analyst,$112k-$236k,Conduct financial analysis and report on budgeting.,4.0,Tech Innovate,"New York, NY","Boston, MA",1-50 employees,1985,Non-profit Organization,Cybersecurity,Technology,Less than $1 million,None
Graphic Designer,$116k-$150k,Design visual content for digital and print media.,2.5,People Partners,"Boston, MA","Seattle, WA",501-1000 employees,1996,Government,Management Consulting,Real Estate,$5 to $10 million,None
Network Administrator,$137k-$193k,Maintain and troubleshoot company network issues.,5.0,Office Organizers,"Austin, TX","Los Angeles, CA",501-1000 employees,1948,Non-profit Organization,IT Services,Insurance,$5 to $10 million,None
Security Analyst,$62k-$150k,Protect systems against cyber threats and ensure data security.,2.8,Web Wonders,"Denver, CO","Chicago, IL",1-50 employees,1977,Private,Administrative Services,Non-Profit,$5 to $10 million,None
Web Developer,$146k-$181k,Build and maintain websites to enhance user experience.,2.5,Plan Pros,"Seattle, WA","Atlanta, GA",501-1000 employees,1984,Public,IT Services,Insurance,Less than $1 million,None
Supply Chain Analyst,$96k-$155k,Optimize supply chain processes to improve efficiency.,4.9,Web Wonders,"Los Angeles, CA","Seattle, WA",51-200 employees,1977,Subsidiary or Business Segment,Digital Media,Government,Less than $1 million,None
Network Administrator,$104k-$210k,Maintain and troubleshoot company network issues.,4.9,Office Organizers,"San Francisco, CA","Denver, CO",201-500 employees,1977,Public,Software Development,Retail,$25 to $50 million,None
Customer Support Representative,$123k-$250k,Handle customer inquiries and resolve issues promptly.,4.4,People Partners,"New York, NY","Chicago, IL",501-1000 employees,2001,Private,Research & Development,Non-Profit,$10 to $25 million,None
Sales Manager,$107k-$164k,Lead sales teams to achieve targets through strategic planning.,2.9,People Partners,"Austin, TX","Austin, TX",51-200 employees,1921,Private,Marketing,Real Estate,More than $50 million,None
Software Developer,$70k-$191k,Develop and maintain software applications based on client requirements.,4.6,Secure Systems,"Boston, MA","Austin, TX",201-500 employees,1985,Subsidiary or Business Segment,Customer Service,Business Services,More than $50 million,None
Sales Manager,$118k-$231k,Lead sales teams to achieve targets through strategic planning.,3.9,Market Movers,"Los Angeles, CA","Austin, TX",1001-5000 employees,1998,Non-profit Organization,Marketing,Insurance,$10 to $25 million,None
Customer Support Representative,$141k-$245k,Handle customer inquiries and resolve issues promptly.,3.9,Media Magic,"Atlanta, GA","Denver, CO",51-200 employees,1928,Government,Marketing,Biotech & Pharmaceuticals,Less than $1 million,None
Marketing Specialist,$61k-$193k,Create and execute marketing strategies to enhance brand awareness.,4.0,Support Central,"Austin, TX","San Francisco, CA",1001-5000 employees,1947,Public,Administrative Services,Insurance,$10 to $25 million,None
Project Manager,$144k-$150k,Oversee project lifecycle from initiation to closure.,2.2,Plan Pros,"Atlanta, GA","Austin, TX",501-1000 employees,1954,Government,Cybersecurity,Insurance,More than $50 million,None
Customer Support Representative,$66k-$216k,Handle customer inquiries and resolve issues promptly.,3.7,Plan Pros,"Austin, TX","San Francisco, CA",501-1000 employees,1901,Non-profit Organization,Administrative Services,Media,$5 to $10 million,None
Sales Manager,$87k-$178k,Lead sales teams to achieve targets through strategic planning.,3.0,Finance First,"Chicago, IL","Washington, DC",201-500 employees,1918,Private,Management Consulting,Insurance,$5 to $10 million,None
Human Resources Coordinator,$138k-$165k,"Manage recruitment, training, and employee relations.",2.1,Office Organizers,"Washington, DC","Seattle, WA",51-200 employees,1963,Government,Software Development,Real Estate,Less than $1 million,None
Security Analyst,$92k-$169k,Protect systems against cyber threats and ensure data security.,4.3,Design Dreams,"Austin, TX","New York, NY",51-200 employees,2009,Subsidiary or Business Segment,Software Development,Real Estate,$5 to $10 million,None
Administrative Assistant,$134k-$170k,Provide administrative support to ensure efficient office operations.,5.0,People Partners,"Denver, CO","Los Angeles, CA",501-1000 employees,1986,Subsidiary or Business Segment,Networking & Security,Real Estate,$10 to $25 million,None
Marketing Specialist,$117k-$243k,Create and execute marketing strategies to enhance brand awareness.,2.1,Web Wonders,"Austin, TX","Atlanta, GA",501-1000 employees,1912,Public,Networking & Security,Government,Less than $1 million,None
Administrative Assistant,$140k-$188k,Provide administrative support to ensure efficient office operations.,2.8,Global Sales Group,"Washington, DC","Chicago, IL",501-1000 employees,1989,Subsidiary or Business Segment,Research & Development,Retail,$1 to $5 million,None
Graphic Designer,$145k-$175k,Design visual content for digital and print media.,3.9,Tech Innovate,"Los Angeles, CA","Washington, DC",1-50 employees,1986,Public,Digital Media,Real Estate,More than $50 million,None
Administrative Assistant,$71k-$157k,Provide administrative support to ensure efficient office operations.,1.4,Finance First,"Chicago, IL","New York, NY",1-50 employees,1965,Government,Management Consulting,Real Estate,$1 to $5 million,None
Supply Chain Analyst,$142k-$201k,Optimize supply chain processes to improve efficiency.,2.0,Market Movers,"Austin, TX","Denver, CO",501-1000 employees,1938,Non-profit Organization,Consumer Products,Real Estate,More than $50 million,None
Security Analyst,$135k-$234k,Protect systems against cyber threats and ensure data security.,1.4,Finance First,"Denver, CO","Boston, MA",501-1000 employees,1947,Private,Marketing,Business Services,Less than $1 million,None
Marketing Specialist,$112k-$232k,Create and execute marketing strategies to enhance brand awareness.,3.7,People Partners,"Austin, TX","New York, NY",1001-5000 employees,1973,Non-profit Organization,Finance,Biotech & Pharmaceuticals,More than $50 million,None
Web Developer,$62k-$225k,Build and maintain websites to enhance user experience.,1.7,Finance First,"Denver, CO","Boston, MA",1001-5000 employees,1916,Private,Networking & Security,Business Services,More than $50 million,None
Customer Support Representative,$118k-$173k,Handle customer inquiries and resolve issues promptly.,2.6,Web Wonders,"New York, NY","Denver, CO",1001-5000 employees,2004,Non-profit Organization,Cybersecurity,Non-Profit,$10 to $25 million,None
Marketing Specialist,$116k-$224k,Create and execute marketing strategies to enhance brand awareness.,3.2,Office Organizers,"San Francisco, CA","Austin, TX",1-50 employees,1923,Non-profit Organization,Software Development,Retail,Less than $1 million,None
Human Resources Coordinator,$107k-$190k,"Manage recruitment, training, and employee relations.",1.5,Global Sales Group,"Washington, DC","Austin, TX",51-200 employees,1911,Non-profit Organization,Research & Development,Technology,Less than $1 million,None
Marketing Specialist,$114k-$188k,Create and execute marketing strategies to enhance brand awareness.,2.5,People Partners,"Chicago, IL","Denver, CO",1-50 employees,1931,Government,IT Services,Non-Profit,$5 to $10 million,None
Supply Chain Analyst,$118k-$206k,Optimize supply chain processes to improve efficiency.,1.6,Finance First,"Los Angeles, CA","Atlanta, GA",201-500 employees,1977,Non-profit Organization,Human Resources,"Arts, Entertainment & Recreation",More than $50 million,None
Marketing Specialist,$134k-$155k,Create and execute marketing strategies to enhance brand awareness.,1.9,Design Dreams,"Chicago, IL","Boston, MA",51-200 employees,1917,Non-profit Organization,Human Resources,"Arts, Entertainment & Recreation",$25 to $50 million,None
Network Administrator,$85k-$166k,Maintain and troubleshoot company network issues.,3.9,Media Magic,"San Francisco, CA","Atlanta, GA",201-500 employees,1933,Subsidiary or Business Segment,Logistics,Retail,$10 to $25 million,None
Financial Analyst,$60k-$182k,Conduct financial analysis and report on budgeting.,3.7,Web Wonders,"Chicago, IL","Atlanta, GA",51-200 employees,1909,Government,Logistics,"Arts, Entertainment & Recreation",More than $50 million,None
Network Administrator,$122k-$234k,Maintain and troubleshoot company network issues.,3.6,People Partners,"Washington, DC","Chicago, IL",501-1000 employees,2005,Public,Networking & Security,Real Estate,$10 to $25 million,None
Software Developer,$127k-$181k,Develop and maintain software applications based on client requirements.,1.3,Market Movers,"Atlanta, GA","San Francisco, CA",1001-5000 employees,1952,Private,Networking & Security,Business Services,$5 to $10 million,None
Customer Support Representative,$92k-$249k,Handle customer inquiries and resolve issues promptly.,2.1,Office Organizers,"Austin, TX","Boston, MA",1-50 employees,1912,Subsidiary or Business Segment,Graphic Design,Real Estate,Less than $1 million,None
Security Analyst,$65k-$172k,Protect systems against cyber threats and ensure data security.,3.1,Support Central,"Boston, MA","Washington, DC",501-1000 employees,1912,Non-profit Organization,Networking & Security,Government,$5 to $10 million,None
Human Resources Coordinator,$84k-$227k,"Manage recruitment, training, and employee relations.",1.4,Tech Innovate,"Chicago, IL","Los Angeles, CA",501-1000 employees,1923,Government,Cybersecurity,Non-Profit,$25 to $50 million,None
Project Manager,$101k-$211k,Oversee project lifecycle from initiation to closure.,3.4,Data Wizards,"New York, NY","Atlanta, GA",51-200 employees,1984,Public,Consumer Products,Real Estate,$25 to $50 million,None
Web Developer,$84k-$156k,Build and maintain websites to enhance user experience.,4.7,Supply Chain Co.,"Los Angeles, CA","Austin, TX",1001-5000 employees,1953,Subsidiary or Business Segment,Consumer Products,Media,$5 to $10 million,None
Security Analyst,$109k-$214k,Protect systems against cyber threats and ensure data security.,2.1,Media Magic,"Atlanta, GA","Austin, TX",201-500 employees,1981,Private,Research & Development,Real Estate,$5 to $10 million,None
Administrative Assistant,$61k-$231k,Provide administrative support to ensure efficient office operations.,1.3,Web Wonders,"Austin, TX","San Francisco, CA",51-200 employees,1973,Private,Marketing,Biotech & Pharmaceuticals,$25 to $50 million,None
Customer Support Representative,$113k-$151k,Handle customer inquiries and resolve issues promptly.,4.8,Media Magic,"Atlanta, GA","Chicago, IL",501-1000 employees,1963,Non-profit Organization,Logistics,Non-Profit,More than $50 million,None
Marketing Specialist,$101k-$151k,Create and execute marketing strategies to enhance brand awareness.,3.5,Support Central,"New York, NY","Denver, CO",1001-5000 employees,1995,Government,Graphic Design,Non-Profit,More than $50 million,None
Project Manager,$55k-$227k,Oversee project lifecycle from initiation to closure.,2.8,Global Sales Group,"Atlanta, GA","Austin, TX",51-200 employees,1909,Government,Administrative Services,Retail,$25 to $50 million,None
Network Administrator,$56k-$204k,Maintain and troubleshoot company network issues.,3.0,Global Sales Group,"Los Angeles, CA","San Francisco, CA",201-500 employees,2016,Public,Administrative Services,Non-Profit,Less than $1 million,None
Data Scientist,$88k-$211k,Analyze large datasets to uncover actionable insights.,2.2,Design Dreams,"New York, NY","Washington, DC",501-1000 employees,1927,Government,Customer Service,Non-Profit,Less than $1 million,None
Customer Support Representative,$109k-$229k,Handle customer inquiries and resolve issues promptly.,4.4,Tech Innovate,"Los Angeles, CA","New York, NY",1001-5000 employees,1958,Government,Research & Development,Insurance,Less than $1 million,None
Software Developer,$94k-$242k,Develop and maintain software applications based on client requirements.,1.7,Net Solutions,"New York, NY","San Francisco, CA",501-1000 employees,1962,Public,Marketing,Non-Profit,$25 to $50 million,None
Customer Support Representative,$69k-$202k,Handle customer inquiries and resolve issues promptly.,1.5,Finance First,"New York, NY","Chicago, IL",201-500 employees,1928,Subsidiary or Business Segment,Digital Media,Insurance,$5 to $10 million,None
Network Administrator,$104k-$173k,Maintain and troubleshoot company network issues.,3.1,Data Wizards,"San Francisco, CA","Seattle, WA",501-1000 employees,1920,Public,Networking & Security,Real Estate,Less than $1 million,None
Network Administrator,$140k-$175k,Maintain and troubleshoot company network issues.,1.4,Data Wizards,"New York, NY","Chicago, IL",501-1000 employees,1953,Government,Customer Service,Technology,$1 to $5 million,None
Supply Chain Analyst,$75k-$211k,Optimize supply chain processes to improve efficiency.,4.8,Data Wizards,"San Francisco, CA","Denver, CO",501-1000 employees,1970,Subsidiary or Business Segment,Cybersecurity,Retail,$5 to $10 million,None
Security Analyst,$147k-$249k,Protect systems against cyber threats and ensure data security.,4.5,People Partners,"Denver, CO","Chicago, IL",1-50 employees,1913,Private,Consumer Products,Retail,$5 to $10 million,None
Human Resources Coordinator,$51k-$248k,"Manage recruitment, training, and employee relations.",3.7,Tech Innovate,"Los Angeles, CA","Denver, CO",1001-5000 employees,1994,Private,Digital Media,Media,$5 to $10 million,None
Data Scientist,$112k-$160k,Analyze large datasets to uncover actionable insights.,4.0,Design Dreams,"Washington, DC","Chicago, IL",1001-5000 employees,1923,Public,Research & Development,Business Services,$5 to $10 million,None
Web Developer,$81k-$235k,Build and maintain websites to enhance user experience.,4.3,Design Dreams,"Seattle, WA","San Francisco, CA",1001-5000 employees,1978,Public,Graphic Design,Government,More than $50 million,None
Supply Chain Analyst,$69k-$179k,Optimize supply chain processes to improve efficiency.,1.5,Media Magic,"New York, NY","Boston, MA",51-200 employees,2018,Public,Digital Media,Technology,$25 to $50 million,None
Graphic Designer,$61k-$156k,Design visual content for digital and print media.,2.5,People Partners,"Boston, MA","Austin, TX",51-200 employees,1943,Subsidiary or Business Segment,Finance,Technology,$25 to $50 million,None
Digital Media Manager,$132k-$156k,Manage online content and social media presence.,2.2,Data Wizards,"Los Angeles, CA","Boston, MA",201-500 employees,1991,Subsidiary or Business Segment,Graphic Design,Insurance,Less than $1 million,None
Sales Manager,$55k-$150k,Lead sales teams to achieve targets through strategic planning.,1.2,Web Wonders,"Los Angeles, CA","Austin, TX",201-500 employees,1960,Government,Customer Service,Government,Less than $1 million,None
Digital Media Manager,$73k-$182k,Manage online content and social media presence.,4.8,Net Solutions,"Los Angeles, CA","Boston, MA",1-50 employees,1912,Private,Logistics,Non-Profit,$1 to $5 million,None
Network Administrator,$96k-$244k,Maintain and troubleshoot company network issues.,4.2,Web Wonders,"Washington, DC","Atlanta, GA",1001-5000 employees,1947,Public,Logistics,Biotech & Pharmaceuticals,$1 to $5 million,None
Project Manager,$99k-$161k,Oversee project lifecycle from initiation to closure.,4.5,Global Sales Group,"Washington, DC","San Francisco, CA",1-50 employees,1975,Public,Graphic Design,Media,Less than $1 million,None
Marketing Specialist,$119k-$229k,Create and execute marketing strategies to enhance brand awareness.,2.4,Web Wonders,"Seattle, WA","Austin, TX",1001-5000 employees,1992,Public,IT Services,Retail,$1 to $5 million,None
Digital Media Manager,$120k-$241k,Manage online content and social media presence.,2.0,Support Central,"Atlanta, GA","Los Angeles, CA",201-500 employees,1957,Private,Customer Service,Real Estate,Less than $1 million,None
Financial Analyst,$103k-$217k,Conduct financial analysis and report on budgeting.,4.7,People Partners,"New York, NY","Chicago, IL",1001-5000 employees,1935,Public,Research & Development,Technology,$25 to $50 million,None
Software Developer,$138k-$174k,Develop and maintain software applications based on client requirements.,4.0,Media Magic,"Seattle, WA","Atlanta, GA",1001-5000 employees,1909,Public,Finance,Non-Profit,$10 to $25 million,None
Human Resources Coordinator,$149k-$199k,"Manage recruitment, training, and employee relations.",2.6,Data Wizards,"Austin, TX","Chicago, IL",1-50 employees,1920,Non-profit Organization,Graphic Design,Government,More than $50 million,None
Software Developer,$115k-$208k,Develop and maintain software applications based on client requirements.,3.0,Web Wonders,"Atlanta, GA","Boston, MA",201-500 employees,2009,Public,Research & Development,Biotech & Pharmaceuticals,$25 to $50 million,None
Marketing Specialist,$71k-$178k,Create and execute marketing strategies to enhance brand awareness.,1.2,Design Dreams,"Boston, MA","New York, NY",51-200 employees,2020,Government,Customer Service,Retail,$5 to $10 million,None
Administrative Assistant,$56k-$232k,Provide administrative support to ensure efficient office operations.,4.9,Office Organizers,"Austin, TX","Atlanta, GA",1-50 employees,1900,Government,Logistics,Government,$5 to $10 million,None
Network Administrator,$60k-$240k,Maintain and troubleshoot company network issues.,4.5,Data Wizards,"Chicago, IL","Denver, CO",1001-5000 employees,1937,Government,IT Services,Technology,$5 to $10 million,None
Graphic Designer,$143k-$185k,Design visual content for digital and print media.,1.7,Tech Innovate,"Atlanta, GA","Washington, DC",1-50 employees,1992,Subsidiary or Business Segment,Logistics,Biotech & Pharmaceuticals,More than $50 million,None
Supply Chain Analyst,$127k-$220k,Optimize supply chain processes to improve efficiency.,1.8,Finance First,"Austin, TX","Los Angeles, CA",201-500 employees,1926,Non-profit Organization,Logistics,Real Estate,$1 to $5 million,None
Financial Analyst,$79k-$243k,Conduct financial analysis and report on budgeting.,3.9,Net Solutions,"Chicago, IL","Seattle, WA",1-50 employees,1963,Public,Finance,Retail,$1 to $5 million,None
Graphic Designer,$122k-$212k,Design visual content for digital and print media.,4.8,Global Sales Group,"Boston, MA","New York, NY",201-500 employees,1920,Public,Administrative Services,Real Estate,More than $50 million,None
Project Manager,$74k-$158k,Oversee project lifecycle from initiation to closure.,1.6,Media Magic,"Austin, TX","Seattle, WA",501-1000 employees,1912,Non-profit Organization,Consumer Products,Technology,$25 to $50 million,None
Marketing Specialist,$98k-$199k,Create and execute marketing strategies to enhance brand awareness.,1.1,Office Organizers,"New York, NY","New York, NY",51-200 employees,1931,Private,Research & Development,Retail,More than $50 million,None
Project Manager,$51k-$151k,Oversee project lifecycle from initiation to closure.,4.8,Market Movers,"Atlanta, GA","Los Angeles, CA",1-50 employees,1925,Public,Finance,Government,$10 to $25 million,None
Administrative Assistant,$70k-$189k,Provide administrative support to ensure efficient office operations.,2.3,Global Sales Group,"Austin, TX","New York, NY",1001-5000 employees,1988,Government,Logistics,Non-Profit,Less than $1 million,None
Software Developer,$55k-$163k,Develop and maintain software applications based on client requirements.,3.2,Market Movers,"Atlanta, GA","Denver, CO",51-200 employees,1900,Public,IT Services,"Arts, Entertainment & Recreation",$10 to $25 million,None
Digital Media Manager,$68k-$195k,Manage online content and social media presence.,3.6,Design Dreams,"Denver, CO","San Francisco, CA",501-1000 employees,1921,Private,Graphic Design,Business Services,$5 to $10 million,None
Network Administrator,$59k-$228k,Maintain and troubleshoot company network issues.,2.3,Net Solutions,"San Francisco, CA","New York, NY",1001-5000 employees,1919,Public,Digital Media,Non-Profit,$5 to $10 million,None
Project Manager,$73k-$236k,Oversee project lifecycle from initiation to closure.,2.7,Support Central,"Boston, MA","Washington, DC",201-500 employees,1944,Private,Research & Development,Media,More than $50 million,None
Network Administrator,$83k-$241k,Maintain and troubleshoot company network issues.,4.2,Secure Systems,"New York, NY","Chicago, IL",51-200 employees,1940,Public,Digital Media,Media,More than $50 million,None
Security Analyst,$150k-$211k,Protect systems against cyber threats and ensure data security.,4.3,Market Movers,"Washington, DC","Denver, CO",201-500 employees,1918,Private,Networking & Security,Retail,$1 to $5 million,None
Security Analyst,$99k-$195k,Protect systems against cyber threats and ensure data security.,2.3,Media Magic,"Seattle, WA","Denver, CO",1001-5000 employees,2001,Government,Consumer Products,"Arts, Entertainment & Recreation",$10 to $25 million,None
Digital Media Manager,$120k-$213k,Manage online content and social media presence.,3.2,Finance First,"Atlanta, GA","Atlanta, GA",51-200 employees,1949,Private,Management Consulting,Real Estate,$25 to $50 million,None
Project Manager,$149k-$238k,Oversee project lifecycle from initiation to closure.,4.2,Design Dreams,"San Francisco, CA","Austin, TX",201-500 employees,1900,Public,Administrative Services,Technology,$5 to $10 million,None
Human Resources Coordinator,$110k-$167k,"Manage recruitment, training, and employee relations.",4.7,Tech Innovate,"Los Angeles, CA","Los Angeles, CA",51-200 employees,1937,Subsidiary or Business Segment,Consumer Products,Non-Profit,$10 to $25 million,None
Graphic Designer,$76k-$178k,Design visual content for digital and print media.,1.2,Global Sales Group,"San Francisco, CA","Chicago, IL",501-1000 employees,1993,Private,Software Development,Real Estate,$5 to $10 million,None
Software Developer,$139k-$163k,Develop and maintain software applications based on client requirements.,3.7,Market Movers,"Seattle, WA","Washington, DC",51-200 employees,1903,Public,Networking & Security,Retail,Less than $1 million,None
Graphic Designer,$59k-$151k,Design visual content for digital and print media.,3.3,Office Organizers,"Denver, CO","Chicago, IL",51-200 employees,1960,Public,Software Development,Non-Profit,More than $50 million,None
Data Scientist,$110k-$202k,Analyze large datasets to uncover actionable insights.,3.9,Finance First,"New York, NY","Boston, MA",1-50 employees,1919,Private,Customer Service,Technology,$25 to $50 million,None
Security Analyst,$72k-$214k,Protect systems against cyber threats and ensure data security.,1.6,Media Magic,"Denver, CO","Seattle, WA",1001-5000 employees,1991,Government,Customer Service,Government,$25 to $50 million,None
Data Scientist,$140k-$179k,Analyze large datasets to uncover actionable insights.,2.7,Global Sales Group,"Boston, MA","San Francisco, CA",1001-5000 employees,1948,Public,Software Development,"Arts, Entertainment & Recreation",$10 to $25 million,None
Project Manager,$57k-$178k,Oversee project lifecycle from initiation to closure.,2.6,Office Organizers,"Atlanta, GA","Washington, DC",1-50 employees,2004,Subsidiary or Business Segment,Finance,Insurance,More than $50 million,None
Supply Chain Analyst,$101k-$198k,Optimize supply chain processes to improve efficiency.,1.7,Secure Systems,"Los Angeles, CA","Denver, CO",51-200 employees,1934,Private,Marketing,Business Services,$5 to $10 million,None
Project Manager,$149k-$192k,Oversee project lifecycle from initiation to closure.,1.1,Data Wizards,"Chicago, IL","Atlanta, GA",1-50 employees,1908,Public,Management Consulting,Technology,$5 to $10 million,None
Graphic Designer,$120k-$175k,Design visual content for digital and print media.,3.6,Tech Innovate,"Austin, TX","Boston, MA",1-50 employees,1972,Non-profit Organization,IT Services,Government,$10 to $25 million,None
Software Developer,$56k-$190k,Develop and maintain software applications based on client requirements.,1.4,Data Wizards,"New York, NY","Los Angeles, CA",201-500 employees,1950,Non-profit Organization,Graphic Design,Insurance,$10 to $25 million,None
Web Developer,$95k-$166k,Build and maintain websites to enhance user experience.,3.8,Market Movers,"Los Angeles, CA","Denver, CO",1001-5000 employees,1912,Non-profit Organization,Cybersecurity,Retail,Less than $1 million,None
Project Manager,$98k-$211k,Oversee project lifecycle from initiation to closure.,3.3,Office Organizers,"New York, NY","Boston, MA",51-200 employees,1919,Subsidiary or Business Segment,Marketing,Business Services,More than $50 million,None
Graphic Designer,$77k-$237k,Design visual content for digital and print media.,3.6,Secure Systems,"Chicago, IL","Atlanta, GA",1001-5000 employees,1993,Non-profit Organization,Logistics,Non-Profit,$5 to $10 million,None
Financial Analyst,$150k-$166k,Conduct financial analysis and report on budgeting.,2.4,Net Solutions,"Washington, DC","Denver, CO",1-50 employees,2014,Subsidiary or Business Segment,Graphic Design,"Arts, Entertainment & Recreation",$25 to $50 million,None
Project Manager,$59k-$169k,Oversee project lifecycle from initiation to closure.,3.3,Finance First,"San Francisco, CA","New York, NY",51-200 employees,1998,Government,Human Resources,Business Services,$10 to $25 million,None
Marketing Specialist,$108k-$190k,Create and execute marketing strategies to enhance brand awareness.,1.7,Data Wizards,"Chicago, IL","San Francisco, CA",201-500 employees,1973,Government,Networking & Security,Business Services,Less than $1 million,None
Sales Manager,$140k-$248k,Lead sales teams to achieve targets through strategic planning.,2.8,Finance First,"Boston, MA","Seattle, WA",51-200 employees,2020,Private,Management Consulting,Media,Less than $1 million,None
Network Administrator,$86k-$201k,Maintain and troubleshoot company network issues.,2.6,Plan Pros,"Chicago, IL","Seattle, WA",201-500 employees,1965,Non-profit Organization,Networking & Security,Insurance,Less than $1 million,None
Supply Chain Analyst,$102k-$214k,Optimize supply chain processes to improve efficiency.,2.8,Support Central,"New York, NY","Washington, DC",1-50 employees,1994,Public,Software Development,Non-Profit,Less than $1 million,None
Sales Manager,$63k-$187k,Lead sales teams to achieve targets through strategic planning.,2.5,Plan Pros,"Denver, CO","San Francisco, CA",51-200 employees,1949,Subsidiary or Business Segment,Logistics,Business Services,$5 to $10 million,None
